Car electrician,car;electrician
Car lacquerer,car;lacquerer
Tinsmith,tinsmith
Mechanic,mechanic
Automotive technician,automotive;technician
Locksmith,locksmith
Chimney sweeper,chimney;sweep
Electrician,electrician
Plasterer,plasterer
Construction,construction
Heating,heating
Heating installer,heating;installer
Air conditioning and refrigeration,air;conditioning;refrigeration
Ceramist,ceramist
Stonemason,stonemason
Roofer,foofer
Graphic designer,graphic;designer
Gas installer,gas;installer
Flooring,flooring
Blinds and shades,blinds;shades
Glazier,glazier
Joiner,joiner
Machinist,machinist
Upholsterer,upholsterer
Carpenter,carpenter
Turner,turner
Instrument tuner,instrument;tuner
Plumber,plumber
Tire repairman,tire;repairman
Bricklayer,bricklayer
Hygiene services,hygiene;services
Plasterer,plasterer
PVC Carpentry,pvc;carpentry
Blinds and shutters,blinds;shutters