Autoelektričar,autoelektričar;auto
Autolakirer,
Autolimar,
Automehaničar,
Autoserviser,
Bravar,
Dimnjačar,dimnjačar;dimnjak
Drvotokar,drvotokar;drvo;obrada
Električar,električar;elektroinstalater;struja;struje;instalacije;elektroinstalacije
Elektromehaničar,
Elektroničar-mehaničar,
Fasader,
Gipsar,gipsar;knaufer
Građevinski tehničar,građevinski;tehničar
Instalater grijanja,instalater;grijanja
Instalater klimatizacije i hlađenja,instalater;klimatizacija;klimatizacije;hlađenje;hlađenja
Keramičar,keramičar
Klesar,klesar
Krovopokrivač,krovopokrivač
Pismoslikar,pismoslikar
Plinoinstalater,plinoinstalater;plinska;plinske;instalacija;instalacije
Podpolagač,podpolagač
PVC Stolarija,"pvc, stolarija"
Roletar,"roletar, rolete"
Soboslikar-ličilac,soboslikar;ličilac
Staklar,staklar;staklo
Stolar,stolar;stolarija
Strojobravar,
Tapetar,
Tesar,
Tokar,
Ugođač glazbala,
Vodoinstalater,vodoinstalater;instalacije;voda;vode
Vulkanizer,
Zidar,
Sanitarna zaštita,sanitarna;zaštita;komunalna;higijena